ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
1,Right,1645.9,1778.9,0.00,62.41,1
2,Right,1544.9,1563.7,0.00,62.19,1
3,Right,2672.1,2746.3,0.00,62.13,1
4,Left,2784.5,2825.4,0.00,60.73,1
5,Right,1986.1,2060.5,0.00,60.72,1
6,Left,403.7,523.9,0.03,60.63,1
7,Right,2378.2,2434.0,0.00,60.58,1
8,Right,2244.4,2328.8,0.00,60.22,1
9,Left,2553.0,2603.9,0.00,60.22,1
10,Right,1228.0,1329.7,0.00,60.20,1
11,Right,1264.6,1334.7,0.00,60.16,1
12,Right,1415.3,2421.5,0.00,60.16,1
13,Right,1452.9,1526.0,0.00,60.04,1
14,Left,2139.4,2179.1,0.07,59.99,1
15,Left,1579.0,1622.7,0.00,59.99,1
16,Left,1701.9,1705.3,0.00,59.96,1
17,Right,1752.6,1792.8,0.13,59.96,1
18,Left,1483.5,1503.4,0.00,59.96,1
19,Left,1846.8,1954.3,0.00,59.95,1
20,Right,2058.9,2134.0,0.00,59.90,1
21,Left,2133.8,2230.4,0.00,59.89,1
22,Left,1512.6,2317.7,0.00,59.88,1
23,Right,1878.7,1923.2,0.00,59.87,1
24,Right,1672.9,1721.1,0.06,59.84,1
25,Right,1946.9,2105.3,0.00,59.83,1
26,Right,1389.0,1472.2,0.00,59.82,1
27,Left,1947.7,1998.3,0.00,59.82,1
28,Left,1038.0,1063.8,0.00,59.79,1
29,Right,1627.0,1700.5,0.00,59.78,1
30,Left,2053.8,2104.7,0.00,59.78,1
31,Right,1658.8,1658.5,0.00,59.77,1
32,Left,1713.9,1793.6,0.00,59.76,1
33,Left,1974.4,2057.5,0.00,59.76,1
34,Left,1870.0,2106.2,0.00,59.75,1
35,Right,719.7,798.7,0.00,59.75,1
36,Right,1704.4,1716.3,0.00,59.74,1
37,Left,1292.3,1351.1,0.00,59.73,1
38,Right,1598.0,1608.7,0.00,59.73,1
39,Left,984.9,993.0,0.11,59.72,1
40,Left,629.9,652.4,0.00,59.72,1
41,Left,1797.0,1835.2,0.01,59.72,1
42,Left,1605.1,1676.0,0.00,59.71,1
43,Left,1934.1,1997.8,0.01,59.71,1
44,Right,1728.2,1884.5,0.00,59.68,1
45,Right,2144.1,2229.1,0.01,59.66,1
46,Right,878.6,886.0,0.00,59.65,1
47,Left,1733.2,1838.3,0.00,59.64,1
48,Right,1077.7,1139.8,0.00,59.64,1
49,Right,2618.0,2672.5,0.02,59.64,1
50,Left,1661.2,1709.5,0.08,59.63,1
51,Right,2015.9,2078.7,0.00,59.61,1
52,Left,1771.9,1806.0,0.00,59.60,1
53,Left,1453.0,1467.0,0.00,59.58,1
54,Right,657.9,693.7,0.00,59.58,1
55,Left,1451.4,1527.2,0.00,59.57,1
56,Left,1881.4,1893.5,0.00,59.57,1
57,Right,1673.2,1691.1,0.06,59.55,1
58,Left,532.5,588.4,0.00,59.55,1
59,Right,1700.1,1830.9,0.00,59.54,1
60,Right,1120.0,1247.1,0.00,59.52,1
61,Left,1554.6,1593.5,0.02,59.51,1
62,Right,1667.0,1684.1,0.00,59.51,1
63,Right,1094.3,1121.5,0.00,59.51,1
64,Right,869.9,924.0,0.00,59.50,1
65,Left,861.7,895.1,0.00,59.50,1
66,Left,1730.9,1807.9,0.00,59.48,1
67,Right,1874.4,1875.8,0.00,59.48,1
68,Left,1605.3,1623.7,0.00,59.47,1
69,Left,1778.4,1818.1,0.00,59.46,1
70,Right,1523.0,1971.1,0.00,59.44,1
71,Right,1609.4,1655.4,0.00,59.43,1
72,Left,1208.7,1441.0,0.00,59.43,1
73,Left,1619.6,1692.9,0.00,59.42,1
74,Left,1842.9,1962.3,0.00,59.42,1
75,Right,1620.1,1658.5,0.00,59.41,1
76,Right,687.5,704.3,0.00,59.41,1
77,Left,1749.7,1781.7,0.00,59.41,1
78,Right,1794.2,1798.7,0.00,59.40,1
79,Right,864.2,930.6,0.00,59.39,1
80,Right,2225.3,2348.6,0.00,59.39,1
81,Right,1317.0,1360.1,0.00,59.39,1
82,Right,1955.3,1978.6,0.00,59.38,1
83,Left,941.2,1004.3,0.00,59.37,1
84,Right,1683.5,1717.3,0.00,59.37,1
85,Left,1322.3,1400.1,0.00,59.34,1
86,Right,1646.2,1688.2,0.00,59.33,1
87,Left,1418.4,1653.0,0.00,59.32,1
88,Left,1304.0,1341.0,0.00,59.31,1
89,Right,1817.2,1914.4,0.00,59.31,1
90,Right,1134.9,1157.4,0.00,59.31,1
91,Left,2029.5,2129.1,0.02,59.30,1
92,Right,801.1,804.2,0.00,59.30,1
93,Right,1533.9,1654.8,0.01,59.29,1
94,Right,1352.1,1372.5,0.01,59.28,1
95,Right,1987.7,2076.5,0.01,59.28,1
96,Left,1143.2,1150.1,0.00,59.28,1
97,Left,1168.9,1196.6,0.00,59.27,1
