ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
1,Left,1277.9,1411.3,0.00,61.25,1
2,Left,663.4,663.4,0.06,60.85,1
3,Left,981.5,2246.8,0.00,60.77,1
4,Left,1623.4,1948.3,0.00,60.69,1
5,Right,1227.8,1594.6,0.06,60.22,1
6,Left,1679.5,2027.4,0.00,60.12,1
7,Left,681.5,823.7,0.00,60.07,1
8,Right,1799.0,2048.1,0.00,60.02,1
9,Right,1963.0,1987.5,0.00,60.02,1
10,Right,1074.0,1076.4,0.14,60.00,1
11,Right,935.3,967.6,0.12,59.99,1
12,Right,1503.7,1594.6,0.00,59.99,1
13,Right,1726.7,1984.2,0.01,59.95,1
14,Right,1898.6,2043.4,0.03,59.95,1
15,Right,1085.6,1246.8,0.00,59.94,1
16,Right,1153.3,1224.1,0.01,59.84,1
17,Right,1840.2,1914.4,0.00,59.84,1
18,Right,888.8,990.5,0.00,59.84,1
19,Left,1765.1,1795.4,0.00,59.84,1
20,Left,1728.0,1765.3,0.00,59.82,1
21,Left,1920.2,2021.0,0.09,59.82,1
22,Left,2034.6,2216.0,0.00,59.81,1
23,Left,790.5,990.8,0.00,59.80,1
24,Left,1397.7,1512.3,0.00,59.79,1
25,Left,1796.0,1911.4,0.00,59.78,1
26,Right,1966.6,2135.4,0.00,59.77,1
27,Left,1509.9,1526.7,0.00,59.76,1
28,Right,605.5,722.6,0.00,59.75,1
29,Right,1137.0,1152.9,0.05,59.74,1
30,Right,1311.6,1381.0,0.00,59.73,1
31,Right,1472.6,1681.7,0.01,59.72,1
32,Left,1375.6,1555.5,0.04,59.70,1
33,Left,1005.7,1128.3,0.00,59.68,1
34,Right,1129.2,1131.4,0.00,59.68,1
35,Left,1708.0,1990.5,0.00,59.66,1
36,Right,1652.5,1817.6,0.00,59.66,1
37,Right,1159.7,1262.6,0.00,59.65,1
38,Right,1607.2,1745.0,0.01,59.61,1
39,Right,1320.5,1353.3,0.07,59.60,1
40,Right,1854.8,2096.2,0.00,59.59,1
41,Left,1579.2,1613.9,0.00,59.59,1
42,Right,1608.3,1833.6,0.00,59.59,1
43,Left,753.0,817.2,0.00,59.57,1
44,Right,1578.2,1604.6,0.01,59.57,1
45,Left,1841.1,1945.1,0.00,59.56,1
46,Left,1533.1,1586.6,0.05,59.56,1
47,Right,1989.8,2078.9,0.00,59.51,1
48,Right,1652.2,2006.6,0.05,59.51,1
49,Left,1432.1,1483.9,0.00,59.51,1
50,Left,1227.2,1280.3,0.00,59.50,1
51,Left,1590.5,1736.0,0.06,59.48,1
52,Right,1317.6,1523.7,0.00,59.46,1
53,Left,1673.3,1794.9,0.01,59.46,1
54,Left,1672.6,1694.0,0.04,59.44,1
55,Right,1828.9,1881.1,0.15,59.44,1
56,Right,1669.8,1744.6,0.00,59.43,1
57,Left,1854.6,1865.7,0.16,59.42,1
58,Left,1358.0,1416.6,0.00,59.42,1
59,Right,1622.3,1632.0,0.00,59.42,1
60,Right,1555.3,1632.6,0.00,59.41,1
61,Right,1131.4,1163.4,0.09,59.41,1
62,Right,1478.4,1540.1,0.14,59.41,1
63,Right,1822.0,1832.4,0.00,59.40,1
64,Left,1377.7,1385.5,0.00,59.39,1
65,Right,1434.3,1446.4,0.07,59.39,1
66,Right,1412.1,1528.0,0.00,59.39,1
67,Left,1322.8,1466.5,0.00,59.39,1
68,Left,1315.9,1426.2,0.00,59.38,1
69,Left,1472.1,1608.4,0.00,59.37,1
70,Right,1827.4,1839.7,0.00,59.37,1
71,Right,1239.7,1319.3,0.00,59.35,1
72,Left,1347.4,1396.1,0.00,59.35,1
73,Left,1422.4,1456.0,0.00,59.35,1
74,Left,1303.4,1326.2,0.05,59.35,1
75,Left,2405.7,2470.9,0.00,59.35,1
76,Left,1526.5,1732.9,0.00,59.35,1
77,Right,1600.3,1653.8,0.00,59.34,1
78,Left,1604.8,1784.0,0.00,59.34,1
79,Right,785.1,942.7,0.00,59.34,1
80,Left,1702.0,1717.4,0.00,59.34,1
81,Right,1499.1,1507.4,0.00,59.34,1
82,Left,1698.0,1773.0,0.00,59.33,1
