ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
1,Left,1186.9,1348.3,0.00,59.81,1
2,Right,1544.5,1634.6,0.00,59.72,1
3,Left,1312.5,1342.0,0.00,59.68,1
4,Left,1078.9,1109.5,0.00,59.61,1
5,Right,1547.7,1569.0,0.00,59.61,1
6,Left,1217.9,1339.3,0.00,59.58,1
7,Right,1259.5,1307.5,0.00,59.53,1
8,Left,1797.9,1923.3,0.00,59.52,1
9,Right,1907.2,1919.0,0.00,59.50,1
10,Left,1191.9,1337.8,0.00,59.48,1
11,Left,620.6,667.6,0.00,59.46,1
12,Left,1810.1,1928.5,0.01,59.44,1
13,Left,1775.3,1788.6,0.11,59.37,1
14,Left,980.4,990.6,0.07,59.36,1
15,Left,978.8,1049.8,0.02,59.34,1
16,Right,938.1,946.8,0.00,59.33,1
17,Right,1814.2,1842.6,0.00,59.32,1
18,Right,1510.9,1655.8,0.00,59.32,1
19,Right,1830.4,1880.8,0.00,59.29,1
20,Left,2047.0,2316.2,0.00,59.29,1
21,Left,1010.7,1139.1,0.01,59.19,1
22,Right,965.6,1067.0,0.02,59.19,1
23,Right,1313.8,1318.1,0.00,59.16,1
24,Left,816.1,904.5,0.01,59.15,1
25,Right,1029.1,1060.1,0.10,59.15,1
26,Left,1716.7,1756.4,0.00,59.07,1
27,Right,1505.0,1562.1,0.00,59.06,1
28,Left,1557.0,1674.3,0.00,59.02,1
29,Right,1439.6,1530.4,0.00,59.02,1
30,Left,646.3,657.1,0.00,58.98,1
31,Left,749.4,801.3,0.01,58.97,1
32,Right,1644.1,1752.2,0.00,58.96,1
33,Left,828.6,865.4,0.03,58.95,1
34,Left,1531.3,1540.4,0.00,58.95,1
35,Right,1237.3,1289.5,0.01,58.93,1
36,Left,553.2,572.5,0.00,58.93,1
37,Left,1026.7,1113.2,0.00,58.92,1
38,Right,736.1,795.8,0.00,58.91,1
39,Left,517.9,542.1,0.00,58.88,1
40,Left,1536.3,1701.5,0.00,58.86,1
41,Left,904.0,946.9,0.00,58.82,1
42,Left,1742.6,1917.4,0.00,58.81,1
43,Right,1054.7,1131.9,0.01,58.79,1
44,Right,917.4,1000.5,0.00,58.78,1
45,Left,1190.5,1269.5,0.01,58.62,1
46,Left,979.8,1162.6,0.02,58.58,1
47,Left,515.9,563.6,0.06,58.52,1
48,Right,1439.3,1528.3,0.01,58.51,1
49,Left,1572.2,1663.7,0.01,58.51,1
50,Right,1538.7,1595.8,0.18,58.49,1
51,Right,1573.7,1596.4,0.01,58.46,1
52,Left,1672.2,1739.2,0.02,58.44,1
53,Right,924.7,943.7,0.00,58.43,1
54,Right,1661.4,1733.9,0.07,58.42,1
55,Left,1231.7,1249.3,0.00,58.31,1
56,Right,1760.7,1849.8,0.01,58.31,1
57,Right,534.4,590.8,0.03,58.30,1
58,Right,478.4,508.9,0.00,58.29,1
59,Right,780.3,836.8,0.10,58.17,1
60,Right,1733.7,1795.4,0.00,57.94,1
61,Left,428.4,435.9,0.08,57.94,1
62,Left,1908.1,1939.0,0.00,57.93,1
63,Left,805.2,856.7,0.00,57.90,1
64,Left,1445.4,1528.9,0.00,57.86,1
65,Left,854.6,936.1,0.00,57.83,1
66,Left,684.0,763.5,0.00,57.80,1
67,Left,1003.0,1058.8,0.00,59.00,2
68,Left,1524.2,1590.5,0.00,58.90,2
69,Right,675.3,733.2,0.00,58.90,2
70,Right,1006.1,1136.8,0.00,58.89,2
71,Right,572.5,624.9,0.00,58.82,2
72,Left,1064.9,1082.0,0.00,58.71,2
73,Right,721.3,823.6,0.00,58.56,2
74,Right,852.4,899.0,0.00,58.28,2
75,Right,1419.6,1572.7,0.00,58.19,2
76,Left,737.9,836.3,0.00,58.15,2
77,Right,1001.3,1013.4,0.14,58.05,2
78,Right,722.4,755.6,0.00,57.99,2
79,Left,1430.7,1519.3,0.11,57.98,2
80,Right,1370.3,1448.4,0.00,57.96,2
81,Right,1239.8,1297.0,0.01,57.79,2
82,Left,1434.5,1496.1,0.00,59.42,3
83,Left,1241.0,1291.0,0.00,59.38,3
84,Right,1466.1,1513.9,0.00,59.32,3
85,Right,1735.9,1819.9,0.00,59.30,3
86,Left,1233.6,1293.0,0.16,59.20,3
87,Right,2110.2,2166.5,0.00,59.17,3
88,Right,1624.0,1694.0,0.01,59.16,3
89,Left,1518.1,1657.7,0.00,59.15,3
90,Right,1530.6,1630.5,0.00,59.08,3
91,Right,767.6,823.4,0.00,58.97,3
92,Left,1363.9,1496.6,0.00,58.76,3
93,Left,1381.1,1386.1,0.00,58.68,3
94,Right,860.0,895.4,0.00,58.66,3
95,Left,873.2,895.3,0.00,58.65,3
96,Left,1098.0,1133.0,0.01,58.65,3
97,Left,1303.4,1332.3,0.10,58.59,3
98,Right,1091.3,1105.8,0.00,58.57,3
99,Left,951.2,984.2,0.00,58.57,3
