ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
1,Right,2714.2,2940.3,0.00,60.84,1
2,Right,3123.1,3182.9,0.01,60.57,1
3,Right,2891.8,3070.8,0.00,60.45,1
4,Left,1883.8,1895.0,0.02,60.34,1
5,Right,3006.8,3323.3,0.00,60.32,1
6,Left,1975.4,2098.3,0.00,59.95,1
7,Left,2788.0,3179.6,0.06,59.94,1
8,Left,2199.1,2258.4,0.00,59.84,1
9,Right,1246.5,1279.7,0.00,59.74,1
10,Left,2507.1,2606.2,0.00,59.73,1
11,Right,2040.7,2041.3,0.03,59.70,1
12,Left,2103.1,2204.2,0.00,59.66,1
13,Right,2023.1,2029.3,0.00,59.64,1
14,Right,2119.1,2204.5,0.00,59.59,1
15,Left,1514.7,1538.5,0.00,59.56,1
16,Left,1579.4,1649.9,0.05,59.53,1
17,Right,941.8,958.9,0.00,59.49,1
18,Right,2354.6,2387.8,0.00,59.49,1
19,Left,2300.8,2405.7,0.00,59.46,1
20,Right,2326.3,2447.1,0.00,59.42,1
21,Right,1792.7,1814.3,0.00,59.38,1
22,Left,2173.6,2332.9,0.00,59.33,1
23,Left,1089.1,1112.5,0.02,59.28,1
24,Left,1338.2,1447.3,0.00,59.25,1
25,Left,1474.9,1507.7,0.01,59.25,1
26,Right,1594.0,1634.9,0.00,59.25,1
27,Right,2127.8,2136.7,0.00,59.24,1
28,Right,2066.5,2177.6,0.02,59.16,1
29,Left,2021.2,2098.6,0.01,59.10,1
30,Right,1589.4,1657.0,0.04,59.04,1
31,Right,1581.6,1688.5,0.00,59.04,1
32,Right,1824.0,1903.8,0.00,59.00,1
33,Left,1490.3,1592.4,0.00,59.00,1
34,Right,1714.1,1731.7,0.00,58.98,1
35,Right,2679.1,2703.1,0.02,58.91,1
36,Left,1375.7,1396.1,0.00,58.89,1
37,Left,2261.5,2328.4,0.19,58.85,1
38,Left,1688.8,1753.2,0.16,58.84,1
39,Left,2591.3,2738.6,0.00,58.82,1
40,Left,1106.2,1184.3,0.00,58.81,1
41,Right,1929.9,1932.1,0.00,58.80,1
