Candidate_Index,Shortest_Side,Shortest_Color,Main_Route_Length,Alt_Route_Length
1,Left,red,1303.7859300126274,1318.8468965567256
2,Left,red,1157.1656556895932,1169.7686860699232
3,Left,red,959.7270555095809,975.0924958366745
4,Right,blue,1079.9158723275377,1092.7930726875625
5,Left,red,1060.2051942088829,1072.472221513642
6,Right,blue,934.3401871576774,952.6316010800759
7,Right,blue,1131.8813844421313,1152.5016587651642
8,Right,blue,1096.2661607529812,1116.0336213336288
9,Left,red,948.7859300126263,960.8204178980326
10,Left,red,1277.447834896002,1305.6875169902908
11,Right,blue,965.4062043356593,981.5554826343271
12,Right,blue,1181.6488450227796,1193.9230150024746
13,Right,blue,1261.5626253092637,1296.6437943888966
14,Left,red,840.5361466505708,850.6366517139593
15,Left,red,984.8569978244918,1008.8498551495558
16,Right,blue,991.8326112068524,1005.9919907732865
17,Right,blue,1147.3788591251894,1165.146319705837
18,Left,red,1393.383909759074,1410.4448763031724
19,Left,red,853.7960312803929,864.2396820942893
20,Right,blue,804.5067093990476,820.1046891454944
21,Right,blue,862.920922961421,876.3006486383877
22,Right,blue,1030.17575695736,1050.8691911333115
23,Left,red,1032.494516090228,1045.028570699746
24,Left,red,820.3940110268398,838.77878733769
25,Right,blue,862.8792924010785,877.7321061434636
26,Left,red,850.8792924010784,867.2224381515861
