ID,Main_Side,Main_Len,Alt_Len,Overlap_Pct,Hardness,Pass_Num
0,Right,765.9,803.6,0.00,59.96,1
1,Left,1365.2,1378.7,0.00,59.90,1
2,Right,1360.8,1418.4,0.00,59.76,1
3,Right,987.8,1018.7,0.00,59.74,1
4,Left,1017.2,1109.2,0.00,59.72,1
5,Left,1517.5,1556.5,0.08,59.51,1
6,Right,1123.3,1167.7,0.00,59.49,1
7,Left,862.2,885.8,0.00,59.44,1
8,Left,963.7,998.3,0.00,59.40,1
9,Right,1011.0,1029.2,0.00,59.34,1
10,Right,1158.6,1173.4,0.01,59.11,1
11,Right,685.8,721.6,0.00,58.99,1
12,Right,1809.8,1874.0,0.00,58.97,1
13,Left,741.4,811.0,0.00,58.80,1
14,Left,1477.1,1581.1,0.01,58.64,1
15,Left,729.2,740.4,0.00,58.56,1
16,Left,978.4,995.3,0.18,58.54,1
17,Right,1366.4,1442.4,0.00,58.38,1
18,Left,542.6,567.3,0.00,58.31,1
19,Right,988.9,1005.5,0.00,58.17,1
20,Left,1255.1,3380.1,0.00,57.90,1
21,Right,445.6,474.6,0.01,57.58,1
22,Right,890.8,925.1,0.00,57.50,1
23,Left,741.6,760.6,0.19,57.39,1
24,Left,622.9,635.2,0.01,57.30,1
25,Left,515.6,540.1,0.14,57.24,1
26,Left,527.4,555.3,0.06,57.00,1
27,Right,997.7,1007.6,0.00,59.55,2
28,Left,1141.9,1215.1,0.00,58.95,2
29,Right,1244.1,1400.6,0.00,58.77,2
30,Right,1391.6,1453.4,0.00,58.65,2
31,Left,896.2,903.7,0.00,58.60,2
32,Left,1377.0,1390.6,0.16,58.46,2
33,Right,492.6,504.6,0.00,58.46,2
34,Left,616.8,637.6,0.00,57.95,2
35,Right,1209.3,1247.7,0.00,57.72,2
36,Left,1077.4,1109.5,0.00,57.62,2
37,Right,767.6,804.7,0.07,57.59,2
38,Right,1076.6,1100.8,0.09,57.26,2
39,Left,1118.6,1193.7,0.01,57.19,2
40,Left,1150.0,1159.0,0.00,59.60,3
41,Right,1382.1,1419.7,0.00,59.31,3
42,Right,790.8,797.5,0.00,59.25,3
43,Right,1738.8,1797.7,0.00,59.24,3
44,Left,824.7,855.4,0.00,59.17,3
45,Right,1404.0,1451.2,0.00,59.03,3
46,Left,877.1,934.4,0.00,59.00,3
47,Right,840.7,865.0,0.00,58.99,3
48,Left,1478.5,1524.4,0.19,58.99,3
49,Right,785.3,841.5,0.00,58.99,3
50,Left,841.5,891.5,0.00,58.29,3
51,Right,1094.1,1135.5,0.00,58.27,3
52,Right,1203.9,1254.1,0.00,58.26,3
53,Left,968.8,985.3,0.10,58.20,3
54,Left,681.6,703.0,0.00,58.08,3
55,Right,1303.2,1319.0,0.00,58.02,3
56,Left,674.0,779.4,0.00,57.66,3
57,Right,605.7,633.4,0.00,57.61,3
58,Left,736.2,740.2,0.00,57.58,3
59,Left,965.7,1022.0,0.11,57.50,3
60,Left,1061.9,1086.3,0.00,57.47,3
61,Left,1020.8,1115.9,0.00,57.33,3
62,Left,489.4,504.6,0.00,57.33,3
63,Right,590.0,593.6,0.00,57.17,3
64,Right,855.2,904.5,0.18,57.15,3
65,Left,913.9,979.1,0.00,59.68,4
66,Right,1024.7,1066.2,0.00,59.37,4
67,Right,936.9,986.8,0.20,59.21,4
68,Right,1044.8,1073.9,0.00,59.18,4
69,Left,973.2,1013.6,0.12,59.15,4
70,Right,929.2,1001.6,0.00,59.06,4
71,Left,953.6,960.7,0.00,58.92,4
72,Right,764.9,796.3,0.00,58.83,4
73,Left,1160.2,1168.5,0.00,58.64,4
74,Left,779.9,827.5,0.04,58.62,4
75,Left,940.3,998.3,0.00,58.58,4
76,Right,1179.2,1247.3,0.09,58.57,4
77,Left,656.3,709.1,0.00,58.50,4
78,Right,775.0,842.8,0.00,58.46,4
79,Right,869.7,894.4,0.01,58.44,4
80,Right,1165.4,1206.2,0.19,58.30,4
81,Right,746.7,768.5,0.13,58.17,4
82,Right,939.1,1014.4,0.00,58.13,4
83,Left,791.2,827.2,0.00,58.11,4
84,Right,1562.3,1630.8,0.00,57.99,4
85,Left,715.7,2851.6,0.00,57.96,4
86,Right,604.7,636.5,0.00,57.93,4
87,Left,1041.3,1087.8,0.12,57.91,4
88,Right,700.8,726.8,0.00,57.90,4
89,Right,973.6,1048.9,0.10,57.87,4
90,Left,1288.6,1437.9,0.07,57.86,4
91,Right,1220.6,1252.7,0.00,57.83,4
92,Right,1583.6,1674.0,0.02,57.73,4
93,Left,625.6,639.1,0.00,57.68,4
94,Right,1125.1,1175.5,0.18,57.57,4
95,Right,1175.0,1216.6,0.00,57.54,4
96,Right,757.7,790.7,0.04,57.52,4
97,Right,1045.1,1218.1,0.00,57.51,4
98,Left,1027.0,1055.2,0.15,57.48,4
99,Right,514.6,539.4,0.00,57.44,4
100,Left,503.5,510.4,0.18,57.35,4
101,Right,762.0,788.4,0.00,57.35,4
102,Right,578.7,588.0,0.00,57.08,4
103,Right,1444.5,1583.8,0.09,57.04,4
104,Left,1164.6,1219.1,0.07,56.97,4
105,Left,1217.4,1227.2,0.10,59.89,5
106,Right,1488.5,1528.8,0.00,59.61,5
107,Right,1332.6,1467.6,0.00,59.37,5
108,Left,1057.6,1108.5,0.00,59.08,5
109,Left,654.2,689.6,0.00,59.00,5
110,Right,1135.5,1205.9,0.00,58.93,5
111,Right,1365.6,1370.4,0.08,58.90,5
112,Left,957.7,979.1,0.03,58.80,5
113,Left,1085.6,1125.3,0.18,58.69,5
114,Right,690.8,714.8,0.00,58.54,5
115,Right,904.1,979.0,0.00,58.42,5
116,Right,1705.8,1867.0,0.00,58.38,5
117,Left,1041.4,1162.8,0.09,58.37,5
118,Left,887.7,902.2,0.00,58.35,5
119,Left,836.1,885.1,0.00,58.20,5
120,Left,620.2,649.3,0.00,58.13,5
121,Right,1321.4,1459.4,0.01,58.01,5
122,Left,872.1,890.0,0.15,58.01,5
123,Left,1322.9,1341.0,0.10,58.00,5
124,Right,846.7,856.9,0.00,57.98,5
125,Left,501.9,531.2,0.00,57.92,5
126,Right,1326.4,1329.3,0.00,57.86,5
127,Right,676.8,707.9,0.00,57.83,5
128,Left,878.6,914.9,0.00,57.82,5
129,Right,1207.4,1293.3,0.00,57.64,5
130,Right,1018.9,1039.9,0.00,57.63,5
