
Candidate_Index,Shortest_Side,Shortest_Color,Main_Route_Length,Alt_Route_Length
1,Left,red,1451.2417741353438,1466.5281374238575
2,Right,blue,1532.5992052357228,1542.8519471906097
3,Right,blue,1205.3595231414338,1216.6488450227787
4,Left,red,1651.0651506262066,1663.2976900455578
5,Right,blue,1429.7291475506343,1452.2417741353433
6,Left,red,1157.1656556895932,1169.7686860699232
7,Left,red,1598.6093065034906,1620.623591853362
8,Right,blue,1079.9158723275377,1092.7930726875625
9,Left,red,1564.1656556895944,1594.2388155425117
10,Left,red,1060.2051942088829,1072.472221513642
11,Left,red,1419.9524522539973,1438.8052659963823
12,Left,red,1295.5209947489204,1306.9768388716361
13,Right,blue,1131.8813844421313,1152.5016587651642
14,Right,blue,1242.0580079512688,1253.3473298326137
15,Right,blue,1183.6194077712555,1203.5088014401008
16,Right,blue,1346.6509370638319,1356.8864350760161
17,Right,blue,1434.2905473706207,1451.1118318204321
18,Left,red,948.7859300126263,960.8204178980326
19,Right,blue,1521.327127297081,1541.8397538817899
20,Right,blue,1162.1290757631339,1174.2955980045049
21,Left,red,1540.8397538817903,1558.126117170304
22,Left,red,1277.447834896002,1305.6875169902908
23,Right,blue,1178.217387517702,1190.4671708797584
24,Left,red,1561.4966081312828,1584.8590898655452
25,Left,red,1243.207286249936,1254.95750288788
26,Left,red,1035.643794388896,1049.0092347159891
27,Right,blue,1136.3717164502532,1157.1067811865473
28,Right,blue,1181.6488450227796,1193.9230150024746
29,Right,blue,977.2295808265219,987.9575028878801
30,Right,blue,1196.4671708797582,1220.9352083112938
31,Left,red,1740.663130372653,1754.8956697920044
32,Left,red,1153.4305909532989,1169.8742417671951
